from_file,imported_symbol,line
tools\providers\kimi\kimi_upload.py,src.providers.kimi.KimiModelProvider,13
tools\providers\kimi\kimi_upload.py,src.providers.registry.ModelProviderRegistry,14
tests\phase2\test_glm_tool_injection.py,src.providers.glm.GLMModelProvider,7
tests\phase2\test_glm_tool_injection.py,tools.providers.glm.glm_payload_preview.GLMPayloadPreviewTool,23
tests\phase2\test_kimi_cache_metadata.py,tools.providers.kimi.kimi_capture_headers.KimiCaptureHeadersTool,11
tests\phase2\test_kimi_chat_with_tools_schema.py,tools.providers.kimi.kimi_tools_chat.KimiChatWithToolsTool,5
tests\phase2\test_kimi_chat_with_tools_schema.py,src.providers.base.ProviderType,6
tests\phase2\test_kimi_chat_with_tools_schema.py,src.providers.registry.ModelProviderRegistry,7
tests\phase4\test_routing_hints_bias.py,src.providers.registry.ModelProviderRegistry,10
tests\phase4\test_routing_hints_bias.py,src.providers.base.ProviderType,11
tests\phase5\test_flag_propagation_and_budget.py,src.providers.registry.ModelProviderRegistry,20
tests\phase5\test_flag_propagation_and_budget.py,src.providers.base.ProviderType,21
tests\phase5\test_synthesis_hop.py,src.providers.registry.ModelProviderRegistry,14
tests\phase5\test_synthesis_hop.py,src.providers.base.ProviderType,15
tests\phase6\test_kimi_streaming.py,src.providers.kimi.KimiModelProvider,58
tests\phase7\test_health_circuit.py,src.providers.registry.ModelProviderRegistry,3
tests\phase7\test_health_circuit.py,src.providers.base.ProviderType,4
tests\phase7\test_telemetry_jsonl_and_aggregates.py,src.providers.registry.ModelProviderRegistry,11
tests\phase7\test_telemetry_jsonl_and_aggregates.py,src.providers.base.ProviderType,12
tests\phase8\test_provider_glm_websearch.py,src.providers.capabilities.GLMCapabilities,3
tests\phase8\test_provider_kimi_tools_schema.py,src.providers.capabilities.KimiCapabilities,4
tests\phase8\test_provider_kimi_tools_schema.py,src.providers.capabilities.KimiCapabilities,14
tests\phase8\test_router_routing.py,src.providers.registry.ModelProviderRegistry,5
tests\phase8\test_router_routing.py,src.providers.base.ProviderType,6
tests\phase8\test_router_routing.py,src.providers.registry.ModelProviderRegistry,26
tests\phase8\test_router_routing.py,src.providers.base.ProviderType,27
tests\phase8\test_router_routing.py,src.providers.registry.ModelProviderRegistry,51
tests\phase8\test_router_routing.py,src.providers.base.ProviderType,52
tests\unit\test_glm_provider.py,src.providers.glm.GLMModelProvider,13
tests\unit\test_glm_provider.py,src.providers.glm.GLMModelProvider,21
tests\unit\test_glm_provider.py,src.providers.glm.GLMModelProvider,29
tests\unit\test_glm_provider.py,src.providers.glm,36
tests\unit\test_glm_provider.py,src.providers.glm.GLMModelProvider,43
tests\unit\test_glm_provider.py,src.providers.glm.GLMModelProvider,54
tests\unit\test_glm_provider.py,src.providers.glm.GLMModelProvider,62
tests\unit\test_glm_provider.py,src.providers.glm.GLMModelProvider,72
tests\unit\test_glm_provider.py,src.providers.glm.GLMModelProvider,80
tests\unit\test_glm_provider.py,src.providers.glm.GLMModelProvider,89
tests\unit\test_glm_provider.py,src.providers.capabilities.GLMCapabilities,100
tests\unit\test_glm_provider.py,src.providers.capabilities.GLMCapabilities,112
tests\unit\test_glm_provider.py,src.providers.capabilities.GLMCapabilities,124
tests\unit\test_glm_provider.py,src.providers.glm.GLMModelProvider,140
tests\unit\test_glm_provider.py,src.providers.glm.GLMModelProvider,160
tests\unit\test_glm_provider.py,src.providers.glm.GLMModelProvider,178
tests\unit\test_glm_provider.py,src.providers.glm.GLMModelProvider,202
tests\unit\test_glm_provider.py,src.providers.glm.GLMModelProvider,214
tests\unit\test_glm_provider.py,src.providers.base.ProviderType,215
tests\unit\test_glm_provider.py,src.providers.glm.GLMModelProvider,222
tests\unit\test_glm_provider.py,src.providers.glm.GLMModelProvider,233
tests\unit\test_glm_provider.py,src.providers.glm.GLMModelProvider,240
tests\unit\test_glm_provider.py,src.providers.glm.GLMModelProvider,247
tests\unit\test_kimi_provider.py,src.providers.kimi.KimiModelProvider,13
tests\unit\test_kimi_provider.py,src.providers.kimi.KimiModelProvider,21
tests\unit\test_kimi_provider.py,src.providers.kimi.KimiModelProvider,29
tests\unit\test_kimi_provider.py,src.providers.kimi,36
tests\unit\test_kimi_provider.py,src.providers.kimi.KimiModelProvider,43
tests\unit\test_kimi_provider.py,src.providers.kimi.KimiModelProvider,54
tests\unit\test_kimi_provider.py,src.providers.kimi.KimiModelProvider,62
tests\unit\test_kimi_provider.py,src.providers.kimi.KimiModelProvider,72
tests\unit\test_kimi_provider.py,src.providers.kimi.KimiModelProvider,80
tests\unit\test_kimi_provider.py,src.providers.kimi.KimiModelProvider,92
tests\unit\test_kimi_provider.py,src.providers.kimi.KimiModelProvider,99
tests\unit\test_kimi_provider.py,src.providers.kimi.KimiModelProvider,106
tests\unit\test_kimi_provider.py,src.providers.kimi.KimiModelProvider,113
tests\unit\test_kimi_provider.py,src.providers.kimi.KimiModelProvider,120
tests\unit\test_kimi_provider.py,src.providers.kimi.KimiModelProvider,127
tests\unit\test_kimi_provider.py,src.providers.kimi.KimiModelProvider,134
tests\unit\test_kimi_provider.py,src.providers.kimi.KimiModelProvider,145
tests\unit\test_kimi_provider.py,src.providers.kimi.KimiModelProvider,159
tests\unit\test_kimi_provider.py,src.providers.kimi.KimiModelProvider,170
tests\unit\test_kimi_provider.py,src.providers.kimi.KimiModelProvider,190
tests\unit\test_kimi_provider.py,src.providers.kimi.KimiModelProvider,208
tests\unit\test_kimi_provider.py,src.providers.base.ProviderType,209
tests\unit\test_kimi_provider.py,src.providers.kimi.KimiModelProvider,216
tests\unit\test_kimi_provider.py,src.providers.kimi.KimiModelProvider,227
tests\unit\test_kimi_provider.py,src.providers.openai_compatible.OpenAICompatibleProvider,228
tests\unit\test_kimi_provider.py,src.providers.kimi.KimiModelProvider,235
tests\unit\test_kimi_provider.py,src.providers.kimi.KimiModelProvider,247
tests\unit\test_kimi_provider.py,src.providers.kimi.KimiModelProvider,259
tests\unit\test_kimi_provider.py,src.providers.kimi.KimiModelProvider,268
tests\unit\test_kimi_provider.py,src.providers.kimi.KimiModelProvider,279
src\bootstrap\singletons.py,src.server.providers.configure_providers,66
src\daemon\ws_server.py,src.providers.registry.ModelProviderRegistry,126
src\daemon\ws_server.py,src.providers.base.ProviderType,127
src\embeddings\provider.py,src.providers.registry.ModelProviderRegistry,33
src\embeddings\provider.py,src.providers.kimi.KimiModelProvider,34
src\providers\glm_chat.py,src.providers.text_format_handler.has_text_format_tool_call,203
src\providers\glm_chat.py,src.providers.text_format_handler.parse_and_execute_web_search,203
src\providers\glm_chat.py,src.providers.text_format_handler.has_text_format_tool_call,316
src\providers\glm_chat.py,src.providers.text_format_handler.parse_and_execute_web_search,316
src\providers\registry.py,src.providers.registry_config._health_enabled,19
src\providers\registry.py,src.providers.registry_config._cb_enabled,19
src\providers\registry.py,src.providers.registry_config._health_log_only,19
src\providers\registry.py,src.providers.registry_config._retry_attempts,19
src\providers\registry.py,src.providers.registry_config._backoff_base,19
src\providers\registry.py,src.providers.registry_config._backoff_max,19
src\providers\registry.py,src.providers.registry_config._free_tier_enabled,19
src\providers\registry.py,src.providers.registry_config._free_model_list,19
src\providers\registry.py,src.providers.registry_config._apply_free_first,19
src\providers\registry.py,src.providers.registry_config._cost_aware_enabled,19
src\providers\registry.py,src.providers.registry_config._load_model_costs,19
src\providers\registry.py,src.providers.registry_config._max_cost_per_request,19
src\providers\registry.py,src.providers.registry_config._apply_cost_aware,19
src\providers\registry.py,src.providers.registry_config._get_health_manager,19
src\providers\registry.py,src.providers.registry_config.HealthWrappedProvider,19
src\providers\registry.py,src.providers.registry_core.ModelProviderRegistry,43
src\providers\registry.py,src.providers.registry_selection.ProviderDiagnostics,49
src\providers\registry_config.py,src.providers.base.ModelProvider,39
src\providers\registry_config.py,src.providers.base.ProviderType,39
src\providers\registry_core.py,src.providers.base.ModelProvider,23
src\providers\registry_core.py,src.providers.base.ProviderType,23
src\providers\registry_core.py,src.providers.registry_config.HealthWrappedProvider,24
src\providers\registry_core.py,src.providers.registry_config._cb_enabled,24
src\providers\registry_core.py,src.providers.registry_config._get_health_manager,24
src\providers\registry_core.py,src.providers.registry_config._health_enabled,24
src\providers\registry_core.py,src.providers.registry_selection.get_preferred_fallback_model,461
src\providers\registry_core.py,src.providers.registry_selection.get_best_provider_for_category,470
src\providers\registry_core.py,src.providers.registry_selection._get_allowed_models_for_provider,477
src\providers\registry_core.py,src.providers.registry_selection._auggie_fallback_chain,488
src\providers\registry_core.py,src.providers.registry_selection.call_with_fallback,500
src\providers\registry_selection.py,src.providers.base.ModelProvider,21
src\providers\registry_selection.py,src.providers.base.ProviderType,21
src\providers\registry_selection.py,src.providers.registry_config._apply_cost_aware,22
src\providers\registry_selection.py,src.providers.registry_config._apply_free_first,22
src\providers\registry_selection.py,src.providers.registry_core.ModelProviderRegistry,60
src\providers\registry_selection.py,src.providers.registry_core.ModelProviderRegistry,114
src\providers\registry_selection.py,src.providers.registry_core.ModelProviderRegistry,197
src\providers\registry_selection.py,src.providers.registry_core.ModelProviderRegistry,291
src\providers\registry_selection.py,src.providers.registry_core.ModelProviderRegistry,396
src\providers\registry_selection.py,src.providers.registry_core.ModelProviderRegistry,453
src\providers\text_format_handler.py,src.providers.tool_executor.run_web_search_backend,108
src\router\service.py,src.providers.registry.ModelProviderRegistry,18
src\router\service.py,src.providers.base.ProviderType,19
src\server\__init__.py,providers.configure_providers,8
src\server\context\thread_context.py,src.providers.registry.ModelProviderRegistry,199
src\server\context\thread_context.py,src.server.providers.configure_providers,203
src\server\context\thread_context.py,src.providers.registry.ModelProviderRegistry,216
src\server\handlers\request_handler.py,src.server.providers.configure_providers,50
src\server\handlers\request_handler_context.py,src.providers.registry.ModelProviderRegistry,120
src\server\handlers\request_handler_context.py,src.providers.base.ProviderType,121
src\server\handlers\request_handler_init.py,src.server.providers.configure_providers,35
src\server\handlers\request_handler_model_resolution.py,src.providers.registry.ModelProviderRegistry,132
src\server\handlers\request_handler_model_resolution.py,src.providers.base.ProviderType,133
src\server\handlers\request_handler_model_resolution.py,src.providers.registry.ModelProviderRegistry,224
src\server\providers\provider_detection.py,src.providers.kimi.KimiModelProvider,77
src\server\providers\provider_detection.py,src.providers.glm.GLMModelProvider,107
src\server\providers\provider_detection.py,src.providers.custom.CustomProvider,163
src\server\providers\provider_diagnostics.py,src.providers.registry.ModelProviderRegistry,31
src\server\providers\provider_diagnostics.py,src.providers.base.ProviderType,32
src\server\providers\provider_diagnostics.py,src.providers.registry.ModelProviderRegistry,59
src\server\providers\provider_registration.py,src.providers.registry.ModelProviderRegistry,49
src\server\providers\provider_registration.py,src.providers.base.ProviderType,50
src\server\providers\provider_registration.py,src.providers.openrouter.OpenRouterProvider,84
src\server\providers\provider_restrictions.py,src.providers.registry.ModelProviderRegistry,20
src\server\providers\provider_restrictions.py,src.providers.base.ProviderType,21
src\server\providers\provider_restrictions.py,src.providers.registry.ModelProviderRegistry,64
src\server\tools\tool_filter.py,src.providers.registry.ModelProviderRegistry,13
src\server\tools\tool_filter.py,src.providers.base.ProviderType,14
src\providers\mixins\__init__.py,src.providers.mixins.retry_mixin.RetryMixin,9
src\providers\moonshot\__init__.py,src.providers.kimi.*,3
src\providers\orchestration\websearch_adapter.py,src.providers.capabilities.get_capabilities_for_provider,27
scripts\docs_cleanup\analyze_exai_codebase.py,src.providers.kimi.KimiModelProvider,119
scripts\docs_cleanup\analyze_exai_codebase.py,tools.providers.kimi.kimi_upload.KimiUploadAndExtractTool,175
scripts\docs_cleanup\analyze_exai_codebase.py,src.providers.kimi.KimiModelProvider,310
scripts\docs_cleanup\analyze_exai_codebase.py,src.providers.registry.ModelProviderRegistry,311
scripts\docs_cleanup\consolidate_system_reference.py,tools.providers.kimi.kimi_upload.KimiUploadAndExtractTool,29
scripts\docs_cleanup\consolidate_system_reference.py,src.providers.kimi.KimiModelProvider,30
scripts\maintenance\glm_files_cleanup.py,tools.providers.glm.glm_files_cleanup.main,30
docs\archive\legacy-scripts\2025-10-02\consensus_BACKUP.py,src.providers.registry.ModelProviderRegistry,668
docs\archive\legacy-scripts\2025-10-02\consensus_BACKUP.py,src.providers.registry.ModelProviderRegistry,683
docs\archive\legacy-scripts\2025-10-02\conversation_memory_BACKUP.py,src.providers.registry.ModelProviderRegistry,793
docs\archive\legacy-scripts\2025-10-02\provider_config_BACKUP.py,src.providers.registry.ModelProviderRegistry,38
docs\archive\legacy-scripts\2025-10-02\provider_config_BACKUP.py,src.providers.base.ProviderType,39
docs\archive\legacy-scripts\2025-10-02\provider_config_BACKUP.py,src.providers.kimi.KimiModelProvider,78
docs\archive\legacy-scripts\2025-10-02\provider_config_BACKUP.py,src.providers.glm.GLMModelProvider,90
docs\archive\legacy-scripts\2025-10-02\provider_config_BACKUP.py,src.providers.custom.CustomProvider,120
docs\archive\legacy-scripts\2025-10-02\provider_config_OLD_290_LINES.py,src.providers.registry.ModelProviderRegistry,38
docs\archive\legacy-scripts\2025-10-02\provider_config_OLD_290_LINES.py,src.providers.base.ProviderType,39
docs\archive\legacy-scripts\2025-10-02\provider_config_OLD_290_LINES.py,src.providers.kimi.KimiModelProvider,78
docs\archive\legacy-scripts\2025-10-02\provider_config_OLD_290_LINES.py,src.providers.glm.GLMModelProvider,90
docs\archive\legacy-scripts\2025-10-02\provider_config_OLD_290_LINES.py,src.providers.custom.CustomProvider,120
docs\archive\legacy-scripts\2025-10-02\registry_NEW.py,src.providers.registry_config._health_enabled,19
docs\archive\legacy-scripts\2025-10-02\registry_NEW.py,src.providers.registry_config._cb_enabled,19
docs\archive\legacy-scripts\2025-10-02\registry_NEW.py,src.providers.registry_config._health_log_only,19
docs\archive\legacy-scripts\2025-10-02\registry_NEW.py,src.providers.registry_config._retry_attempts,19
docs\archive\legacy-scripts\2025-10-02\registry_NEW.py,src.providers.registry_config._backoff_base,19
docs\archive\legacy-scripts\2025-10-02\registry_NEW.py,src.providers.registry_config._backoff_max,19
docs\archive\legacy-scripts\2025-10-02\registry_NEW.py,src.providers.registry_config._free_tier_enabled,19
docs\archive\legacy-scripts\2025-10-02\registry_NEW.py,src.providers.registry_config._free_model_list,19
docs\archive\legacy-scripts\2025-10-02\registry_NEW.py,src.providers.registry_config._apply_free_first,19
docs\archive\legacy-scripts\2025-10-02\registry_NEW.py,src.providers.registry_config._cost_aware_enabled,19
docs\archive\legacy-scripts\2025-10-02\registry_NEW.py,src.providers.registry_config._load_model_costs,19
docs\archive\legacy-scripts\2025-10-02\registry_NEW.py,src.providers.registry_config._max_cost_per_request,19
docs\archive\legacy-scripts\2025-10-02\registry_NEW.py,src.providers.registry_config._apply_cost_aware,19
docs\archive\legacy-scripts\2025-10-02\registry_NEW.py,src.providers.registry_config._get_health_manager,19
docs\archive\legacy-scripts\2025-10-02\registry_NEW.py,src.providers.registry_config.HealthWrappedProvider,19
docs\archive\legacy-scripts\2025-10-02\registry_NEW.py,src.providers.registry_core.ModelProviderRegistry,43
docs\archive\legacy-scripts\2025-10-02\registry_NEW.py,src.providers.registry_selection.ProviderDiagnostics,49
docs\archive\legacy-scripts\2025-10-02\request_handler_BACKUP.py,src.server.providers.configure_providers,28
docs\archive\legacy-scripts\2025-10-02\request_handler_BACKUP.py,src.providers.registry.ModelProviderRegistry,506
docs\archive\legacy-scripts\2025-10-02\request_handler_BACKUP.py,src.providers.base.ProviderType,688
docs\archive\legacy-scripts\2025-10-02\request_handler_BACKUP.py,src.providers.registry.ModelProviderRegistry,324
docs\archive\legacy-scripts\2025-10-02\request_handler_BACKUP.py,src.providers.base.ProviderType,325
docs\archive\legacy-scripts\2025-10-02\request_handler_OLD_1345_LINES.py,src.providers.registry.ModelProviderRegistry,506
docs\archive\legacy-scripts\2025-10-02\request_handler_OLD_1345_LINES.py,src.providers.base.ProviderType,688
docs\archive\legacy-scripts\2025-10-02\request_handler_OLD_1345_LINES.py,src.providers.registry.ModelProviderRegistry,324
docs\archive\legacy-scripts\2025-10-02\request_handler_OLD_1345_LINES.py,src.providers.base.ProviderType,325
.venv\Lib\site-packages\pydantic_settings\sources\__init__.py,providers.aws.AWSSecretsManagerSettingsSource,11
.venv\Lib\site-packages\pydantic_settings\sources\__init__.py,providers.azure.AzureKeyVaultSettingsSource,12
.venv\Lib\site-packages\pydantic_settings\sources\__init__.py,providers.cli.CLI_SUPPRESS,13
.venv\Lib\site-packages\pydantic_settings\sources\__init__.py,providers.cli.CliExplicitFlag,13
.venv\Lib\site-packages\pydantic_settings\sources\__init__.py,providers.cli.CliImplicitFlag,13
.venv\Lib\site-packages\pydantic_settings\sources\__init__.py,providers.cli.CliMutuallyExclusiveGroup,13
.venv\Lib\site-packages\pydantic_settings\sources\__init__.py,providers.cli.CliPositionalArg,13
.venv\Lib\site-packages\pydantic_settings\sources\__init__.py,providers.cli.CliSettingsSource,13
.venv\Lib\site-packages\pydantic_settings\sources\__init__.py,providers.cli.CliSubCommand,13
.venv\Lib\site-packages\pydantic_settings\sources\__init__.py,providers.cli.CliSuppress,13
.venv\Lib\site-packages\pydantic_settings\sources\__init__.py,providers.cli.CliUnknownArgs,13
.venv\Lib\site-packages\pydantic_settings\sources\__init__.py,providers.dotenv.DotEnvSettingsSource,24
.venv\Lib\site-packages\pydantic_settings\sources\__init__.py,providers.dotenv.read_env_file,24
.venv\Lib\site-packages\pydantic_settings\sources\__init__.py,providers.env.EnvSettingsSource,25
.venv\Lib\site-packages\pydantic_settings\sources\__init__.py,providers.gcp.GoogleSecretManagerSettingsSource,26
.venv\Lib\site-packages\pydantic_settings\sources\__init__.py,providers.json.JsonConfigSettingsSource,27
.venv\Lib\site-packages\pydantic_settings\sources\__init__.py,providers.pyproject.PyprojectTomlConfigSettingsSource,28
.venv\Lib\site-packages\pydantic_settings\sources\__init__.py,providers.secrets.SecretsSettingsSource,29
.venv\Lib\site-packages\pydantic_settings\sources\__init__.py,providers.toml.TomlConfigSettingsSource,30
.venv\Lib\site-packages\pydantic_settings\sources\__init__.py,providers.yaml.YamlConfigSettingsSource,31
.venv\Lib\site-packages\pip\_vendor\resolvelib\__init__.py,providers.AbstractProvider,17
.venv\Lib\site-packages\pip\_vendor\resolvelib\resolvers\abstract.py,providers.AbstractProvider,9
.venv\Lib\site-packages\pip\_vendor\resolvelib\resolvers\resolution.py,providers.AbstractProvider,32
.venv\Lib\site-packages\pip\_vendor\resolvelib\resolvers\resolution.py,providers.Preference,32
.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\provider.py,pip._vendor.resolvelib.providers.AbstractProvider,11
.venv\Lib\site-packages\pip\_internal\resolution\resolvelib\provider.py,pip._vendor.resolvelib.providers.Preference,21
